name,ra,dec,vmag
Alnasl,271.4520337450,-30.4240898494,2.9900
,146.7755070649,-65.0720074221,2.9900
Furud,95.0783001658,-30.0633667339,2.9900
,266.8961644596,-40.1269973623,2.9920
,32.3859463420,34.9872970647,3.0000
,199.7304070383,-23.1715140069,3.0000
Castor B,113.6504185500,31.8884919917,3.0000
Pherkad,230.1820980485,71.8340254549,3.0020
,55.7312200196,47.7874967382,3.0100
,167.4158678993,44.4984877547,3.0100
Aldhanab,328.4821512526,-37.3648722170,3.0100
,105.7561305890,-23.8332939742,3.0200
Seginus,218.0194653313,38.3082480800,3.0200
,84.4111892629,21.1425441122,3.0300
Tania Australis,155.5821986522,41.4995382626,3.0500
Altais,288.1387557204,67.6615386571,3.0700
,254.6550522336,-55.9901388628,3.0760
Dabih,305.2527774924,-14.7814076021,3.0800
Albereo,292.6803150140,27.9596736312,3.0800
,133.8484424894,5.9455652104,3.1000
,274.4068216623,-36.7616901646,3.1100
,162.4062010556,-16.1936470604,3.1100
,309.3918007183,-47.2915014492,3.1100
,224.7903539092,-42.1041963664,3.1100
Wazn,87.7399678529,-35.7683096212,3.1200
,134.8018881455,48.0418228607,3.1300
Sarin,258.7579607430,24.8392069667,3.1300
,142.8054923032,-57.0343764506,3.1390
,173.9453253782,-63.0198349936,3.1400
,281.4141230941,-26.9907826451,3.1400
Talitha,134.8018900724,48.0418261445,3.1400
,140.2637508770,34.3925592893,3.1400
,99.4403026097,-43.1959356870,3.1700
Aldhibah,257.1966155399,65.7146453270,3.1700
,258.7618093599,36.8091615490,3.1800
,76.6287255889,41.2344757417,3.1800
,76.3652683635,-22.3710344870,3.1800
,143.2142955575,51.6773148085,3.1800
,44.5653181568,-40.3046776381,3.1800
,230.3429742725,-40.6475303691,3.1900
Tabit,72.4600466881,6.9612779506,3.1900
,220.6267527171,-64.9751330126,3.1900
,254.4170729284,9.3750290201,3.2000
,292.6803506958,27.9596927972,3.2000
Brachium,226.0175617057,-25.2819695796,3.2100
,267.4645037404,-37.0432763783,3.2100
,318.2341082895,30.2268986806,3.2100
,302.8261945488,-0.8214635937,3.2200
Yed Posterior,244.5803759356,-4.6925131527,3.2300
Alfirk,322.1649868804,70.5607151892,3.2300
,102.0477296801,-61.9413891212,3.2300
Sulafat,284.7359273444,32.6895557407,3.2500
Hadir,112.3076359874,-43.3014353941,3.2500
,275.3275020516,-2.8988279699,3.2500
,56.8097527636,-74.2389628754,3.2600
,260.5024139450,-24.9995463817,3.2600
,257.5943200000,-15.7251822000,3.2600
,158.0061045480,-61.6853319529,3.2700
,139.1069392778,-67.4765653339,3.2700
,211.5929083480,-26.6823615767,3.2800
Propus,93.7193553606,22.5067873272,3.2800
,9.8316796384,30.8609835760,3.2800
,68.4990716129,-55.0449789638,3.2800
Skat,343.6625260741,-15.8208195652,3.2800
,78.2329290171,-16.2054634998,3.2900
Edasich,231.2323908512,58.9660658644,3.2900
,16.5209979899,-46.7184106931,3.3000
Asmidiske,117.3235564660,-24.8597838796,3.3000
,286.7350129713,-27.6704156372,3.3100
Megrez,183.8564993613,57.0326169777,3.3200
,153.4342524786,-70.0379064474,3.3300
,258.0383087286,-43.2391895310,3.3300
,258.6618864208,14.3903710472,3.3300
,261.3485804629,-56.3777263264,3.3400
,269.7566342236,-9.7736336047,3.3400
,154.2707314019,-61.3323046414,3.3500
Chertan,168.5600236272,15.4295710864,3.3500
,81.1192363428,-2.3971475397,3.3500
,332.7136571065,58.2012618341,3.3500
,63.6061250184,-62.4738034890,3.3600
,101.3223520227,12.8955949598,3.3600
,291.3745891389,3.1147794750,3.3600
,230.6702844025,-44.6896151769,3.3660
Segin,28.5988920257,63.6701000663,3.3700
Minelauva,193.9008692670,3.3974689038,3.3800
,131.6938009685,6.4188015228,3.3800
Heze,203.6732973280,-0.5958164161,3.3800
,207.3761521156,-41.6877085298,3.3860
Gorgonea Tertia,46.2941410610,38.8402761903,3.3900
,137.7420220664,-58.9669005551,3.4000
,253.8749800000,-40.8333300000,3.4000
,253.7250000000,-40.7333333333,3.4000
,311.2395566340,-66.2032115835,3.4080
,228.0712313428,-52.0992487035,3.4100
,67.1655900464,15.8708746496,3.4100
,311.3223965313,61.8387817311,3.4100
Homam,340.3655029900,10.8313633103,3.4100
,60.1700698910,12.4903444410,3.4100
,151.8331349647,16.7626633246,3.4100
Adhafera,154.1725631843,23.4173169890,3.4100
,240.0305329835,-38.3967050625,3.4100
Muscida,127.5661256527,60.7181682239,3.4200
